input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_sequence_id	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism
combo_contig_fasta_out	aac(3)-IId	aminoglycoside N-acetyltransferase AAC(3)-IId	NCBI Reference Gene Database	db_v_1	WP_000557454.1	amrfinderplus	tool_v_1	100.0	NODE_971_length_1351_cov_62.547068			91.0	948.0					+		100.0			286.0		286.0	AMINOGLYCOSIDE	GENTAMICIN	
combo_contig_fasta_out	aac(3)-Ia	aminoglycoside N-acetyltransferase AAC(3)-Ia	NCBI Reference Gene Database	db_v_1	WP_002089484.1	amrfinderplus	tool_v_1	100.0	NODE_918_length_1662_cov_67.283136			111.0	572.0					+		100.0			154.0		154.0	AMINOGLYCOSIDE	GENTAMICIN	
combo_contig_fasta_out	aac(6')	aminoglycoside 6'-N-acetyltransferase	NCBI Reference Gene Database	db_v_1	WP_048234935.1	amrfinderplus	tool_v_1	100.0	NODE_145_length_82875_cov_62.736114			52078.0	52515.0					+		100.0			146.0		146.0	AMINOGLYCOSIDE	AMINOGLYCOSIDE	
combo_contig_fasta_out	aac(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	NCBI Reference Gene Database	db_v_1	WP_032488579.1	amrfinderplus	tool_v_1	100.0	NODE_1164_length_616_cov_317.882353			66.0	614.0					-		99.46			184.0		183.0	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	
combo_contig_fasta_out	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NCBI Reference Gene Database	db_v_1	WP_001206315.1	amrfinderplus	tool_v_1	100.0	NODE_1125_length_693_cov_253.377743			3.0	683.0					-		86.64			262.0		227.0	AMINOGLYCOSIDE	STREPTOMYCIN	
combo_contig_fasta_out	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	NCBI Reference Gene Database	db_v_1	WP_001206356.1	amrfinderplus	tool_v_1	100.0	NODE_1071_length_891_cov_118.978469			111.0	890.0					-		98.86			263.0		260.0	AMINOGLYCOSIDE	STREPTOMYCIN	
combo_contig_fasta_out	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	NCBI Reference Gene Database	db_v_1	WP_000503573.1	amrfinderplus	tool_v_1	100.0	NODE_926_length_1610_cov_65.670740			153.0	938.0					-		100.0			262.0		262.0	AMINOGLYCOSIDE	STREPTOMYCIN	
combo_contig_fasta_out	abaF	fosfomycin efflux MFS transporter AbaF	NCBI Reference Gene Database	db_v_1	ABO11759.2	amrfinderplus	tool_v_1	100.0	NODE_150_length_79842_cov_63.110281			56542.0	57828.0					-		100.0			429.0		429.0	FOSFOMYCIN	FOSFOMYCIN	
combo_contig_fasta_out	acrF	multidrug efflux RND transporter permease subunit AcrF	NCBI Reference Gene Database	db_v_1	AAC76298.1	amrfinderplus	tool_v_1	99.42	NODE_425_length_22304_cov_66.882871			5336.0	8437.0					-		100.0			1034.0		1034.0	EFFLUX	EFFLUX	
combo_contig_fasta_out	adeC	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	NCBI Reference Gene Database	db_v_1	AAL14441.1	amrfinderplus	tool_v_1	100.0	NODE_45_length_178169_cov_63.352830			117680.0	119074.0					-		100.0			465.0		465.0	EFFLUX	EFFLUX	
combo_contig_fasta_out	air	inverse autotransporter adhesin EaeX/Air	NCBI Reference Gene Database	db_v_1	CBG36838.1	amrfinderplus	tool_v_1	89.52	NODE_215_length_58044_cov_65.929935			47632.0	57990.0					+		90.73			3806.0		3453.0			
combo_contig_fasta_out	amvA	multidrug efflux MFS transporter AmvA	NCBI Reference Gene Database	db_v_1	ACQ82816.1	amrfinderplus	tool_v_1	98.98	NODE_100_length_107249_cov_63.352893			20344.0	21819.0					+		100.0			492.0		492.0	EFFLUX	EFFLUX	
combo_contig_fasta_out	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	NCBI Reference Gene Database	db_v_1	WP_000381802.1	amrfinderplus	tool_v_1	100.0	NODE_1099_length_776_cov_58.104022			186.0	716.0					-		100.0			177.0		177.0	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	
combo_contig_fasta_out	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	NCBI Reference Gene Database	db_v_1	WP_001279062.1	amrfinderplus	tool_v_1	98.85	NODE_77_length_132322_cov_63.344099			95507.0	96292.0					+		100.0			262.0		262.0	AMINOGLYCOSIDE	STREPTOMYCIN/SPECTINOMYCIN	
combo_contig_fasta_out	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NCBI Reference Gene Database	db_v_1	WP_001255866.1	amrfinderplus	tool_v_1	99.53	NODE_758_length_3197_cov_63.627307			137.0	769.0					+		69.87			302.0		211.0	AMINOGLYCOSIDE	STREPTOMYCIN	
combo_contig_fasta_out	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	NCBI Reference Gene Database	db_v_1	WP_109545041.1	amrfinderplus	tool_v_1	100.0	NODE_910_length_1699_cov_115.144161			867.0	1691.0					-		100.0			275.0		275.0	AMINOGLYCOSIDE	STREPTOMYCIN	
combo_contig_fasta_out	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	NCBI Reference Gene Database	db_v_1	WP_001096887.1	amrfinderplus	tool_v_1	100.0	NODE_758_length_3197_cov_63.627307			1392.0	2183.0					+		100.0			264.0		264.0	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	
combo_contig_fasta_out	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	NCBI Reference Gene Database	db_v_1	WP_003113011.1	amrfinderplus	tool_v_1	99.25	NODE_27_length_210538_cov_63.527487			106092.0	106895.0					+		100.0			268.0		268.0	AMINOGLYCOSIDE	KANAMYCIN	
combo_contig_fasta_out	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	NCBI Reference Gene Database	db_v_1	WP_000018326.1	amrfinderplus	tool_v_1	100.0	NODE_1074_length_880_cov_188.310303			2.0	814.0					-		100.0			271.0		271.0	AMINOGLYCOSIDE	KANAMYCIN	
combo_contig_fasta_out	aph(3')-VIb	aminoglycoside O-phosphotransferase APH(3')-VIb	NCBI Reference Gene Database	db_v_1	WP_000422633.1	amrfinderplus	tool_v_1	96.91	NODE_380_length_28321_cov_63.171443			1850.0	2626.0					+		100.0			259.0		259.0	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	
combo_contig_fasta_out	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	NCBI Reference Gene Database	db_v_1	WP_000480968.1	amrfinderplus	tool_v_1	100.0	NODE_910_length_1699_cov_115.144161			31.0	864.0					-		100.0			278.0		278.0	AMINOGLYCOSIDE	STREPTOMYCIN	
