"ID_Orig"	"Family"	"Merged.ID"	"Class"	"Source"	"Description"
"16S_Ribosomal_RNA_Methyltransferase"	"16S_Ribosomal_RNA_Methyltransferase_1"	"rRNA_Methyltransferase"	"rRNA_Methyltransferase"	"WUSTL"	"16S ribosomal RNA methyltransferase [ARO:3000857]"
"16S_Ribosomal_RNA_Methyltransferase"	"16S_Ribosomal_RNA_Methyltransferase_2"	"rRNA_Methyltransferase"	"rRNA_Methyltransferase"	"WUSTL"	"16S ribosomal RNA methyltransferase [ARO:3000857]"
"16S_Ribosomal_RNA_Methyltransferase"	"16S_Ribosomal_RNA_Methyltransferase_0"	"rRNA_Methyltransferase"	"rRNA_Methyltransferase"	"WUSTL"	"16S ribosomal RNA methyltransferase [ARO:3000857]"
"aac"	"AAA25680"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"YP_884847"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"AAA21889"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"Q01515"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"YP_001102018"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"CAA39038"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"AAA25688"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"YP_001068559"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"NP_214776"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"CAH58703"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"Q49157"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"P13246"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"P23181"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"P29810"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"AAC41391"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
"aac"	"P08988"	"Aminoglycoside_Acetyltransferase"	"aac"	"ARDB"	"\"Aminoglycoside N-acetyltransferase, which modifies aminoglycosides by acetylation. \""
