"","HF Rep 1","TTA Rep 1","FO Rep 1","TTA+FO Rep 1","HF Rep 2","TTA Rep 2","FO Rep 2","TTA+FO Rep 2","HF Rep 3","TTA Rep 3","FO Rep 3","TTA+FO Rep 3"
"",-0.00983366980892459,-0.0492394284794391,-0.159585142301679,0.172900218922962,-0.22391811798833,-0.208917631260503,-0.142291784824464,-0.260802277909013,0.100425305836257,0.0197123057005784,0.0631577004318172,-0.120567816912912
"A0JPQ4",-0.139555135222014,0.562758427154114,0.337522544581979,-0.0376809713614924,0.0803370195465851,0.142696703431829,-0.166956932077086,-0.0360441330569628,-0.116173927869983,0.132574936552362,0.0127382279463977,-0.0115730357602887
"A1A5Q0",-0.242574720603409,0.281189331324314,0.0231184957568829,0.440111771745893,0.205556841099546,0.0271315346781966,0.0646139218841189,-0.27912693452094,-0.24317257998629,-0.0448492762580335,-0.0683320496924438,0.447040759607632
"A2RRU1",NA,NA,NA,NA,0.167032221769956,-0.158135169123794,-0.0763141727985204,0.0169028364928447,0.0513898900070641,-0.0384542989101265,-0.0307226380388947,-0.0790682748530044
"A2VD12",NA,NA,NA,NA,-0.0396691827346993,0.0807061720410376,-0.106269973552465,0.0550251765209913,0.106786621233522,-0.148100786123583,0.0286465871389456,0.169013107828136
"A7VJC2",0.0663398551858339,-0.210811304925376,-0.209248412020727,0.503874156280879,-0.0672602242613711,-0.0436063963708233,0.194675298742043,-0.0514754816114771,0.054519966096754,-0.120141268495953,0.25303355536364,-0.205033104551908
"B0BNE5",0.0195700003217363,-0.258101003029052,0.103184509430594,0.126430072625258,-0.0155862336604451,-0.106107832934174,0.171055192495723,0.0224812569770436,0.221556691639807,-0.194988498447904,0.162804324798059,-0.348792729593547
"B0BNN3",-0.246661353743893,-0.433873386683992,0.246336717961541,-0.123802943770087,-0.5352701553855,-0.446793646588004,0.858122611061489,0.0108631807437537,1.22716654532661,-0.557614076766247,0.38299157667185,-0.617032320088914
"B0K020",-0.10654797453013,0.316861452588361,0.188068789758793,1.58061092869039,-0.122741106926523,-0.0572339039294354,0.0228621255622103,-0.0847659934000937,0.148768866481034,-0.019575381732991,-0.0919396827571782,-0.018748442913924
"B0LPN4",0.144275959487296,0.0975781612662115,0.204678347221729,0.0569848622494169,0.0952497590228903,-0.0154732863080113,-0.0738909516751724,0.0381228504442141,0.0730352439046178,0.036445013461123,0.00739925554396274,-0.104301077413364
"B1PRL5",-0.18577506478585,-0.0216217204371474,-0.0459876406054041,-0.0176569739742081,0.0202692232318828,0.116034758203673,-0.145180502965151,-0.0173446288746476,0.00539942328496679,-0.014955376560847,-0.022620426616685,0.00497722299632919
"B2GV06",-0.567354529154684,-0.200017100210033,0.285536594293542,0.35895406486729,-0.182319106075397,0.0415416709380791,-0.0879592410439514,0.0343628520704549,-0.0268622661527276,-0.184328170362991,0.153849602347738,0.12020170265617
"B2GV54",-0.465998655261686,0.150711578158944,-0.0965586069872826,0.751738694911912,NA,NA,NA,NA,0.0396171280773038,-0.0102361299241404,0.149165736012966,-0.16244488559335
"B2RYW9",0.0832159350295263,-0.150183917020878,-0.0552283918528009,-0.134823872580398,0.243276650554002,0.0318830747260772,-0.174337725354603,-0.0442820539075652,-0.0624791201028066,-0.0599520055877186,-0.0929018085390922,-0.0580961436790751
"B2RZ37",-0.689868345295404,-0.0365831879683149,-0.396917177051444,0.101650821668267,0.12443375478701,0.0505588227894287,-0.156056045750942,-0.0979713249498209,0.0890362708637259,0.104930610750389,0.0477282365272043,-0.126066278169749
"B4F7A1",NA,NA,NA,NA,0.162878958108675,-0.0206949647158168,0.0654337370792164,-0.173153224195698,-0.457190789285661,0.201497734734351,-0.413287886516845,0.470315275020355
"D3Z9R8",0.224665866873494,0.211915784387131,0.0599153091965547,0.267886944254931,-0.111621905271376,0.122677395786218,-0.0756729169702695,0.0126845536653386,-0.319995579529904,0.13018932151007,-0.0704806795119377,0.307991184142476
"D3ZAF6",-1.22036814183367,-0.343552543776786,-1.33331792073203,0.221358350239117,-0.0635489278257397,0.116935619994073,-0.13722239280044,0.149955558647727,-0.287703480417915,0.333024579519592,-0.235066156575763,0.189448748398191
"O08557",NA,NA,NA,NA,0.376857090758801,-0.0353283686152679,0.129793722468447,-0.164554754440926,-0.0924855493495193,0.0392979845568308,0.495918801059652,-0.286516895067538
